session_id,turn_number,idioma,texto_clean,nivel_frustracion,intencion,resolved
SESS-211363,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-193453,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-193453,2,es,el codigo no llega,1,error_login,0
SESS-193453,3,es,es increible que no pueda acceder,2,error_login,0
SESS-155206,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-155206,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-155206,3,es,esto es un robo,2,problema_pago,0
SESS-950287,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-950287,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-950287,3,es,donde esta mi pedido,0,logistica_envio,1
SESS-811620,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-811620,2,es,el codigo no llega,1,error_login,0
SESS-811620,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-877803,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-877803,2,es,el codigo no llega,1,error_login,0
SESS-877803,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-248200,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-248200,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-248200,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-963035,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-963035,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-963035,3,es,donde esta mi pedido,0,logistica_envio,1
SESS-415516,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-415516,2,es,el codigo no llega,1,error_login,0
SESS-415516,3,es,es increible que no pueda acceder,2,error_login,0
SESS-445677,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-445677,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-445677,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-738494,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-738494,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-738494,3,es,donde esta mi pedido,0,logistica_envio,1
SESS-750518,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-750518,2,es,el codigo no llega,1,error_login,0
SESS-750518,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-125236,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-125236,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-125236,3,es,son pesimos repartiendo,2,logistica_envio,0
SESS-692396,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-692396,2,es,el codigo no llega,1,error_login,0
SESS-692396,3,es,es increible que no pueda acceder,2,error_login,0
SESS-968324,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-968324,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-968324,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-340326,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-340326,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-340326,3,es,son pesimos repartiendo,2,logistica_envio,0
SESS-857178,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-857178,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-857178,3,es,donde esta mi pedido,0,logistica_envio,1
SESS-974276,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-974276,2,es,el codigo no llega,1,error_login,0
SESS-974276,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-258379,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-258379,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-258379,3,es,esto es un robo,2,problema_pago,0
SESS-507492,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-507492,2,es,el codigo no llega,1,error_login,0
SESS-507492,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-526823,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-526823,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-526823,3,es,quiero cambiar mi plan,0,cambio_plan,1
SESS-268546,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-268546,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-268546,3,es,me rindo con este servicio,2,cambio_plan,0
SESS-930317,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-930317,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-930317,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-491597,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-491597,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-491597,3,es,son pesimos repartiendo,2,logistica_envio,0
SESS-439132,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-439132,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-439132,3,es,donde esta mi pedido,0,logistica_envio,1
SESS-443756,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-443756,2,es,el codigo no llega,1,error_login,0
SESS-443756,3,es,es increible que no pueda acceder,2,error_login,0
SESS-856058,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-856058,2,es,el codigo no llega,1,error_login,0
SESS-856058,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-155558,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-155558,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-155558,3,es,quiero cambiar mi plan,0,cambio_plan,1
SESS-446462,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-446462,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-446462,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-812614,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-812614,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-812614,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-809908,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-809908,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-809908,3,es,quiero cambiar mi plan,0,cambio_plan,1
SESS-744419,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-744419,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-744419,3,es,me rindo con este servicio,2,cambio_plan,0
SESS-319044,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-319044,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-319044,3,es,donde esta mi pedido,0,logistica_envio,1
SESS-689575,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-689575,2,es,el codigo no llega,1,error_login,0
SESS-689575,3,es,es increible que no pueda acceder,2,error_login,0
SESS-826007,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-826007,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-826007,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-863571,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-863571,2,es,el codigo no llega,1,error_login,0
SESS-863571,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-913840,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-913840,2,es,el codigo no llega,1,error_login,0
SESS-913840,3,es,es increible que no pueda acceder,2,error_login,0
SESS-280650,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-280650,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-280650,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-273366,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-273366,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-273366,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-922012,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-922012,2,es,el codigo no llega,1,error_login,0
SESS-922012,3,es,es increible que no pueda acceder,2,error_login,0
SESS-423354,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-423354,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-423354,3,es,quiero cambiar mi plan,0,cambio_plan,1
SESS-667452,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-667452,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-667452,3,es,donde esta mi pedido,0,logistica_envio,1
SESS-238488,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-238488,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-238488,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-702871,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-702871,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-702871,3,es,son pesimos repartiendo,2,logistica_envio,0
SESS-451315,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-451315,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-451315,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-231447,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-231447,2,es,el codigo no llega,1,error_login,0
SESS-231447,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-398879,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-398879,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-398879,3,es,quiero cambiar mi plan,0,cambio_plan,1
SESS-313695,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-313695,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-313695,3,es,esto es un robo,2,problema_pago,0
SESS-805520,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-805520,2,es,el codigo no llega,1,error_login,0
SESS-805520,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-296250,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-296250,2,es,el codigo no llega,1,error_login,0
SESS-296250,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-953353,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-953353,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-953353,3,es,donde esta mi pedido,0,logistica_envio,1
SESS-581027,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-581027,2,es,el codigo no llega,1,error_login,0
SESS-581027,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-481733,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-481733,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-481733,3,es,me rindo con este servicio,2,cambio_plan,0
SESS-535930,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-535930,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-535930,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-156376,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-156376,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-156376,3,es,me rindo con este servicio,2,cambio_plan,0
SESS-480197,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-480197,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-480197,3,es,me rindo con este servicio,2,cambio_plan,0
SESS-990702,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-990702,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-990702,3,es,esto es un robo,2,problema_pago,0
SESS-681408,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-681408,2,es,el codigo no llega,1,error_login,0
SESS-681408,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-109719,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-109719,2,es,el codigo no llega,1,error_login,0
SESS-109719,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-332966,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-332966,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-332966,3,es,donde esta mi pedido,0,logistica_envio,1
SESS-995058,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-995058,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-995058,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-257958,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-257958,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-257958,3,es,esto es un robo,2,problema_pago,0
SESS-358464,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-358464,2,es,el codigo no llega,1,error_login,0
SESS-358464,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-949656,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-949656,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-949656,3,es,esto es un robo,2,problema_pago,0
SESS-493897,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-493897,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-493897,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-743963,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-743963,2,es,el codigo no llega,1,error_login,0
SESS-743963,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-960450,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-960450,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-960450,3,es,esto es un robo,2,problema_pago,0
SESS-648093,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-648093,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-648093,3,es,son pesimos repartiendo,2,logistica_envio,0
SESS-472900,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-472900,2,es,el codigo no llega,1,error_login,0
SESS-472900,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-545696,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-545696,2,es,el codigo no llega,1,error_login,0
SESS-545696,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-758952,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-758952,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-758952,3,es,quiero cambiar mi plan,0,cambio_plan,1
SESS-394451,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-394451,2,es,el codigo no llega,1,error_login,0
SESS-394451,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-626265,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-626265,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-626265,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-953324,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-953324,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-953324,3,es,son pesimos repartiendo,2,logistica_envio,0
SESS-772269,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-772269,2,es,el codigo no llega,1,error_login,0
SESS-772269,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-778408,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-778408,2,es,el codigo no llega,1,error_login,0
SESS-778408,3,es,es increible que no pueda acceder,2,error_login,0
SESS-975871,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-975871,2,es,el codigo no llega,1,error_login,0
SESS-975871,3,es,es increible que no pueda acceder,2,error_login,0
SESS-403480,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-403480,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-403480,3,es,esto es un robo,2,problema_pago,0
SESS-251767,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-251767,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-251767,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-212383,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-212383,2,es,el codigo no llega,1,error_login,0
SESS-212383,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-955766,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-955766,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-955766,3,es,donde esta mi pedido,0,logistica_envio,1
SESS-750010,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-750010,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-750010,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-669581,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-669581,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-669581,3,es,quiero cambiar mi plan,0,cambio_plan,1
SESS-335229,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-335229,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-335229,3,es,donde esta mi pedido,0,logistica_envio,1
SESS-988753,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-988753,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-988753,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-260844,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-260844,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-260844,3,es,donde esta mi pedido,0,logistica_envio,1
SESS-474345,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-474345,2,es,el codigo no llega,1,error_login,0
SESS-474345,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-937733,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-937733,2,es,el codigo no llega,1,error_login,0
SESS-937733,3,es,es increible que no pueda acceder,2,error_login,0
SESS-149840,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-149840,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-149840,3,es,esto es un robo,2,problema_pago,0
SESS-354005,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-354005,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-354005,3,es,esto es un robo,2,problema_pago,0
SESS-500869,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-500869,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-500869,3,es,me rindo con este servicio,2,cambio_plan,0
SESS-832520,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-832520,2,es,el codigo no llega,1,error_login,0
SESS-832520,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-268444,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-268444,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-268444,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-383671,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-383671,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-383671,3,es,esto es un robo,2,problema_pago,0
SESS-318385,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-318385,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-318385,3,es,son pesimos repartiendo,2,logistica_envio,0
SESS-721367,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-721367,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-721367,3,es,esto es un robo,2,problema_pago,0
SESS-184224,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-184224,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-184224,3,es,me rindo con este servicio,2,cambio_plan,0
SESS-650964,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-650964,2,es,el codigo no llega,1,error_login,0
SESS-650964,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-792593,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-792593,2,es,el codigo no llega,1,error_login,0
SESS-792593,3,es,es increible que no pueda acceder,2,error_login,0
SESS-447932,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-447932,2,es,el codigo no llega,1,error_login,0
SESS-447932,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-725549,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-725549,2,es,el codigo no llega,1,error_login,0
SESS-725549,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-609980,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-609980,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-609980,3,es,esto es un robo,2,problema_pago,0
SESS-279971,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-279971,2,es,el codigo no llega,1,error_login,0
SESS-279971,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-306687,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-306687,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-306687,3,es,son pesimos repartiendo,2,logistica_envio,0
SESS-560458,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-560458,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-560458,3,es,quiero cambiar mi plan,0,cambio_plan,1
SESS-409426,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-409426,2,es,el codigo no llega,1,error_login,0
SESS-409426,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-687666,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-687666,2,es,el codigo no llega,1,error_login,0
SESS-687666,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-768147,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-768147,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-768147,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-232122,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-232122,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-232122,3,es,quiero cambiar mi plan,0,cambio_plan,1
SESS-787177,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-787177,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-787177,3,es,quiero cambiar mi plan,0,cambio_plan,1
SESS-442349,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-442349,2,es,el codigo no llega,1,error_login,0
SESS-442349,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-612982,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-612982,2,es,el codigo no llega,1,error_login,0
SESS-612982,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-531934,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-531934,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-531934,3,es,me rindo con este servicio,2,cambio_plan,0
SESS-966874,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-966874,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-966874,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-725547,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-725547,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-725547,3,es,me rindo con este servicio,2,cambio_plan,0
SESS-268184,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-268184,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-268184,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-534687,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-534687,2,es,el codigo no llega,1,error_login,0
SESS-534687,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-164554,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-164554,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-164554,3,es,son pesimos repartiendo,2,logistica_envio,0
SESS-329010,1,es,quiero cambiar mi plan,0,cambio_plan,0
SESS-329010,2,es,el sistema no me deja actualizar,1,cambio_plan,0
SESS-329010,3,es,me rindo con este servicio,2,cambio_plan,0
SESS-857908,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-857908,2,es,el codigo no llega,1,error_login,0
SESS-857908,3,es,es increible que no pueda acceder,2,error_login,0
SESS-124947,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-124947,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
SESS-124947,3,es,tengo un problema con un cobro,0,problema_pago,1
SESS-260149,1,es,donde esta mi pedido,0,logistica_envio,0
SESS-260149,2,es,llevo dias esperando y nada,1,logistica_envio,0
SESS-260149,3,es,donde esta mi pedido,0,logistica_envio,1
SESS-772498,1,es,no puedo entrar a mi cuenta,0,error_login,0
SESS-772498,2,es,el codigo no llega,1,error_login,0
SESS-772498,3,es,no puedo entrar a mi cuenta,0,error_login,1
SESS-565299,1,es,tengo un problema con un cobro,0,problema_pago,0
SESS-565299,2,es,nadie me ayuda con el cobro doble,1,problema_pago,0
